specific_dialogue_content,interaction_strategy,call_type,is_fraud,fraud_type
"音频内容：

left: 喂，你好，这里是幸福商城客服中心，你是张强吗？
right: 是的。
right: 你好有什么事情？
left: 我们注意到您最近在我们平台购买的商品出现的一些问题。为了保证您的权益，然后我们特地为您申请了一笔退款，需要您配合一下。
right: 嗯，好的，那需要我怎么做？
left: 请您点击我们发送的链接，按照提示操作即可完成退款流程。
right: 好的，我就马上去操作。
left: 好的，如果您在操作过程中遇到任何问题，可以随时联系我们的客服的话，我们会有专人为您解答。
right: 这些我会注意的。
left: 不客气，祝您生活愉快，再见。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 喂，你好，是李小姐吗。
right: 你好，我是。
left: 我是华夏银行的客户经理小王。
left: 我们这边有一款无抵押贷款产品，可以快速放款解决你的资金周转问题。你最近有没有资金需求？
right: 这个贷款需要什么条件？
left: 条件非常简单。
left: 只要你有稳定的收入来源，我们就可以为你提供款。
left: 而写的话呢，现在申请还有特别优惠，你只需要提供一些基本信息，我们就可以为你办理。
right: 那我需要怎么做呢？
left: 你只需要点击我们发送的链接，这写相关信息，我们的工作人员就会尽快联系你。为了方便你操作，我马上发一个链接过去，你收到后就可以直接填写。
right: 好的，我等一下你的链接。
left: 好多链接马上就会发到你的手机上，然后你有任何问题都可以随时联系我。我的电话是138013800。
right: 谢谢你的帮助。



**",Relevance,咨询客服,True,银行诈骗
"音频内容：

left: 喂，你好，我是李明，农商银行的客户经理。你之前有没有考虑过贷款的事情呢？
right: 贷款我没有打算贷。
left: 是这样的，我们这边有一个特别好的机会是专门为小微企业准备的，就是额度高，利率低，而且审批快。
right: 那听起来不错，但是我现在资金周转还可以。
left: 嗯，我理解，不过的话你有没有考虑过，就现在市场变化很快嘛？有时候多一笔流动资金，其实就能抓住更多的机会。
right: 听你这么一说，确实有点道理。
left: 是的，而且我们这次的政策呢，其实不需要看征信的。只要你公司符合这种条件就可以申请。
right: 真的不需要看征信，那我怎么知道这是真的？
left: 我可以加你微信，然后把相关的文件发给你看。你看完之后，如果感兴趣的话，我们再详细聊聊。
right: 好，你加我微信吧，我看看再说。



**",Relevance,咨询客服,True,银行诈骗
"音频内容：

left: 喂，你好，我是中信银行的贷款专员。我们这里有低息贷款，不需要抵押，快速放款。你有资金需求吗？
right: 你好，我最近确实有点资金紧张，你能详细说说吗？
left: 当然可以，我们的贷款预率非常有可日期机械换分之务，而且审批快当天就能到。
left: 你只需要提供这个身份证和银行卡信息，然后我们就可以开始办理。
right: 听起来不错，那我需要做什么？
left: 你只需要点击这个链接，填写一下这个申请表，然后我们会有专人联系你。
right: 好的，那我怎么知道这个链接是安全？
left: 飲ませてもいいや。
left: 然后这个链接是我们的官方申请页面，这对？你放心吧，然后点击这个链接后，我们马上开始。
right: 那好吧，那我是。
left: 二点一点情報停正探せし。
left: 我们这边会提室，如果有任何问题可以随时联系。
right: 好的，谢谢。



**",Relevance,咨询客服,True,钓鱼诈骗
"音频内容：

left: 欢迎光临，有什么可以帮助您的吗？
right: 你好，我想看看你们这里有没有合适的智能家居系统。
right: 最好是能和我现有的设备兼容的。
left: 当然可以。
left: 我们这里有多款智能家居系统，可以和市面上大多数品牌接入。您能告诉我您现有的设备品牌和型号吗？这样我可以为您推荐最适合的学项。
right: 好的，我现在有的设备主要是来自小米和海尔的智能家电。
right: 希望能等到一个能统一管理的系统。
left: 了解了。
left: 那根据您现有的小米和海尔设备，我推荐您尝试我们的全屋智能解决方案。这款系统可以很好地与这两个品牌兼容，实现统一管理和控制。您可以通过手机应用轻松操作来支持语音控制。您有兴趣了解一下吗？
right: 听起来不错，可以详细介绍一下这款系统的功能和安装这个过程吗？
left: 当然可以，这款全屋智能系统具备多种功能，包括智能照明、安全监控、环境控制，如温度、湿度、多媒体娱乐等。您可以根据需要选择模块进行定制。
left: 装过程非常简便，我们的专业团队为上门服务。首先进行现场评估。
left: 然后根据您的需求之点、安装方案，最后进行设备安装和调试，确保一切正常运行。整个过程大概需要1到2天时间，具体是就是您的房屋大小和设备数量而定。
left: 那您看这样的安排合适吗？
right: 应该挺全面，我就对安全监控和环境控制。
right: 可以具体说说这两个模块的这个功能。
left: 当然可以安全监控模块包括智能门锁、门窗、传感器、摄像头等设备，可以实时监控您的家庭安全。一旦检测到异常情况，系统就会立即通过手机应用向您发送警报。
left: 环境控制模块则包括智能温控器、空气净化器、加湿器等，可以根据您的设定，自动调节室内温度、湿度和空气质量，让您的居住环境更加舒适。比如智能温空器，可以根据您的日常习惯，自动调整温度，确保您回家时，房间总是保持在最适宜的温度。
left: 这两个模块都能大大提升您家庭的安全性和舒适性。
left: 您觉得如何？
right: 听着确实很实用。我最关心的其实是系统的稳定性和安全性。就是这些方面真的有保障吗？
left: 八0。
left: 我们的全屋智能系统采用先进的加密技术和稳定的数据传输协议，确保所有数据的安全传输系统还支持多重验证，包括指纹识别、面部识别和密码验证，确保只有授权用户才能访问和控制。
left: 此外，我们提供24小时的技术支持。
left: 如果遇到任何问题，我们的客服团队会及时为您解决。
left: 您可以放心使用。那您还有其他担心的地方。
right: 之起很重要系咪。
right: 那我就决定尝试这款全屋智能系统了。那接下来该怎么做？
left: 太好了，非常感谢您的选择。
left: 接下来您可以提供一个方便的时间。
left: 我们的技术人员会上门进行现场评估和安装，你也可以通过我们的在线平台预定服务，我们会尽快安排。如果你有任何其他需求或问题随时告诉我，我们会在最短时间内为您安排好一切。
left: 看这样还可以吗？



**",Clarity,,,
"音频内容：

left: 喂，你好，能听到吗？
right: 嗯，能听到嗯好。
left: 我是某家餐厅的服务员，想确认一下你昨晚预定的今天中午12点的包间。
right: 哦，对我记得我预定。
left: 那太好了，我们这边会提前准备好，然后你预定的是4人桌，对吗？
right: 是的，是的。
left: 好的，那中午12点我们这边会留好位置。
left: 然后还有的话，我们餐厅最近推出了什么新的特色菜？
left: 要不要我给你推荐一下？
right: 好的，你给我推荐一下吧。
left: 我们最近有一道招牌菜叫麻辣香锅，里面的食材非常新鲜，口味也很棒。很多顾客都推荐，还有一道清蒸鱼，鱼肉鲜嫩，这个非常适合朋友聚会。
right: 听起来不错，那我们到时候就点这两个菜吧。
left: 好的，到时候我们会尽量准备的更好。
left: 如果还有其他需要的话呢。
left: 其时可以联系我。
right: 好的，谢谢，到时候见。



**",Clarity,预约服务,False,
"音频内容：

left: 喂，你好，我是小李，。刚搬进新家，想问问你们这里能不能帮我安装个空调？
right: 你好，小李当然可以，我们提供上门安装服务，你方便现在告诉我具体地址。
left: 好的地址是城市花园13号楼605室。
right: 好的，13号楼605室我记下了嗯，那你方便明天上午9点到11点这个时间段吗？
left: 明天上午就可以，不过我10点就上，最好是在9点之前。
right: 行，那我就就这样在9点前到达，那还有什么需要准备什么吗？
left: 我听说安装空调需要排管，这个我需要进行准备。
right: 要你准备，我们会带上所有需要的材料和工具。你只需要确保空调位置附近有足够的空间。
left: 好的，我会注意。那这个费用的话怎么算？
right: 安装费用是300元是300元。如果需要额外的材料，我们会提前告知。明天这个安装前我再跟你确认一次。



**",Factual Authenticity / Truthfulness,预约服务,False,
"音频内容：

left: 喂，你好啊，你订了我们餐厅的外卖吗？
right: 嗯，你好，我刚刚订了一份宫保鸡丁，还有一份酸辣汤。
left: 好的，你对这两份菜有什么特别的要求吗？
right: 宫保鸡丁不要放花生沙辣汤，就能换成番茄汤吗？我最近对辣的不太能接受。
left: 没问题，宫保鸡丁，我们可以不放花生、酸辣汤，换成番茄汤也行。
right: 太好了，那还有什么能帮我多加点米饭吗？
left: 当然可以多加点米饭，就不另外收费。
right: 那真是太感谢了，我的地址是幸福路100号幸福小区2号楼4单元3060。
left: 好的，您的地址我已经记录下来了，大约半小时后送达。如果有任何变动，我们会提前联系您。
right: 好的，麻烦你了。我等会儿会到门口等，如果有什么问题随时给我打电话。
left: 好的，我们会尽快为您准备好，到时候见。



**",Factual Authenticity / Truthfulness,外卖服务,False,
"音频内容：

left: 您好，这里是某某银行的客服中心，我是客服代表小李。
left: 我们发现您的账户有异常活动。
left: 为了您的资金安全，请问您现在就么方便接听电话？
right: 我现在挺方便的，你说吧，我这个账户怎么。
left: 非常感谢您的配合。
left: 我们监测到您的账户在10分钟前就有一笔可疑的转账操作。
left: 金额为1000元。
left: 为了确保这不是诈骗行为，我们需要您提供一些信息，以便核实。
right: 真的吗？我最近确实没做过什么转账。诶，那那我需要提供什么信息呢？
left: 为了尽快处理这个问题。
left: 我们需要您提供身份证号码和银行卡的后四位数字。
left: 以便我们确认您的身份，请您放心。这些信息仅用于核实您的身份，不会用于其他用。
right: 好，的我的然我的身份证号码是X。
right: X X X X。
right: X, X, X, X, X, X, X, X, X, X.
right: 然后银行卡的后四位是XXX嗯，就是希望你们能尽快查清楚这个问。
left: 感谢您的配合，我们已经记录了这些信息，并会立即进行核实。
left: 如果发现任何问题，我们会第一时间联系您，请您保持电话畅通。
left: 祝您生活愉快。
right: 好的，谢谢你们的帮助，也希望一切顺利，再见。



**",Relevance,咨询客服,True,银行诈骗
"音频内容：

left: 喂.
right: hel你好，有什么事吗？
left: 我是智联招聘的客服专员，我们之前约定了今天上午9点半的面试。
right: 嗯，对我记得哦，对我记得面试地点是在你们公司。
left: 是的，面试地点就在我们的公司，然后地址是华晨大厦三楼，你到时候可以直接过来。
right: 嗨好的，华晨大厦我大概知道，然后那个那个三楼。
left: 没错，你到大厦之后，可以直接乘电梯到三楼，我们的前台就会接待你。
right: 好。
left: 当然提现到也没问题，你可以先在休息区等一下。
right: 对，确实好的，谢谢你的提醒。那我们到时候。
left: 好的，到时候见，祝你一路顺利。



**",Factual Authenticity / Truthfulness,预约服务,False,
